# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- accounting policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:44:52,6987,786,70,0,0,3003,2965
20:44:53,7025,748,69,0,0,3037,3055
20:44:54,6997,776,74,0,0,2969,3051
20:44:55,6976,796,74,0,0,3037,2985
20:44:56,7122,650,69,0,0,2985,2985
20:44:57,7140,632,73,0,0,3003,3007
20:44:58,6936,836,76,0,0,3063,3065
20:44:59,7110,662,73,0,0,2965,2961
20:45:00,7094,678,77,0,0,2943,3095
20:45:01,7002,770,75,0,0,2981,3005
20:45:03,6858,914,73,0,0,3053,3035
20:45:04,7129,644,69,0,0,3061,3013
20:45:05,7067,706,64,0,0,3055,2991
20:45:06,7130,643,77,0,0,3055,2959
20:45:07,6973,799,66,0,0,3095,3067
20:45:08,6947,825,76,0,0,3099,2915
20:45:09,7111,662,76,0,0,2955,3015
20:45:10,7086,687,62,0,0,3005,3077
20:45:11,7087,685,69,0,0,3053,3037
20:45:12,6995,778,72,0,0,2941,3005
20:45:13,7071,701,72,0,0,2917,2975
20:45:14,6943,829,69,0,0,3033,3045
20:45:15,7021,752,62,0,0,2995,2947
20:45:16,6998,774,40,0,0,2955,3057
20:45:17,6960,812,44,0,0,3017,2959
20:45:18,6986,786,45,0,0,3069,3067
20:45:19,6962,810,47,0,0,2883,3035
20:45:20,7018,754,51,0,0,3011,2977
20:45:22,7112,660,69,0,0,2951,2981
20:45:23,7141,632,75,0,0,3039,2989
20:45:24,7039,734,76,0,0,3055,3041
20:45:25,6955,817,74,0,0,2931,3015
20:45:26,7025,748,75,0,0,2949,3009
20:45:27,6876,896,72,0,0,2985,2993
20:45:28,7018,754,75,0,0,2923,3079
20:45:29,6982,790,73,0,0,2965,3077
20:45:30,7054,718,75,0,0,3025,3063
20:45:31,6968,805,69,0,0,3045,3051
20:45:32,7061,711,45,0,0,2919,2959
20:45:33,7000,772,46,0,0,3079,2997
20:45:34,6957,816,45,0,0,3073,2935
20:45:35,7025,747,45,0,0,2991,3041
20:45:36,7096,677,44,0,0,3071,3063
20:45:37,6963,809,69,0,0,3057,2975
20:45:38,6985,788,75,0,0,3035,2993
20:45:40,7059,714,72,0,0,2963,2991
20:45:41,7078,694,72,0,0,2973,3025
20:45:42,7056,716,68,0,0,3079,2943
20:45:43,6980,793,71,0,0,3023,3071
20:45:44,7037,736,80,0,0,3007,3035
20:45:45,7044,728,79,0,0,3049,3009
20:45:46,6990,782,71,0,0,3007,3067
20:45:47,7139,634,71,0,0,2995,3057
20:45:48,7058,715,77,0,0,3027,3085
20:45:49,7133,640,76,0,0,3055,2987
20:45:50,7081,692,74,0,0,2967,2975
20:45:51,6991,782,75,0,0,3025,2969
20:45:52,7046,727,74,0,0,3069,3069
20:45:53,7060,713,54,0,0,3047,2981
20:45:54,6915,857,47,0,0,2973,3075
20:45:55,7077,696,46,0,0,2965,2987
20:45:57,7005,768,47,0,0,3045,3011
20:45:58,6944,828,47,0,0,3077,3037
20:45:59,6962,810,57,0,0,2935,3029
20:46:00,6968,804,77,0,0,2991,3031
20:46:01,6964,809,78,0,0,2917,3009
20:46:02,7005,767,72,0,0,3089,3003
20:46:03,7083,689,76,0,0,3089,3023
20:46:04,7015,758,75,0,0,3033,3027
20:46:05,7096,677,48,0,0,3069,2947
20:46:06,6958,814,47,0,0,3087,3043
20:46:07,7116,657,46,0,0,3023,3087
20:46:08,7058,715,47,0,0,3055,3057
20:46:09,7056,716,65,0,0,3031,3079
20:46:10,6988,785,66,0,0,2921,2983
